name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2022-12-15,10.7,8.2,9.5,10.7,5.4,8.1,7.9,90,3.92,100,58.33,rain,0,0,36,26.4,226.5,1000.7,74.9,13.9,62.1,5.3,4,10,2022-12-15T08:30:46,2022-12-15T17:49:01,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,D4212,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-16,10.4,5.6,8.3,10.4,3.8,7.7,6.7,89.6,1.046,100,16.67,rain,0,0,17.6,15.3,181.8,1008.6,77.7,11,37.6,3.3,2,10,2022-12-16T08:31:27,2022-12-16T17:49:19,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-17,11.3,7.9,9.5,11.3,7.9,9.4,7.6,88.4,0.194,100,8.33,rain,0,0,12.2,10.4,155.4,1017.4,85.5,12.2,73.8,6.2,5,10,2022-12-17T08:32:07,2022-12-17T17:49:39,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,C1784,LEMD,LEVS,08226099999,F7959,08223099999,08215099999"
madrid,2022-12-18,10.9,6.2,7.8,10.9,4.8,7.5,6.5,91.9,0.19,100,4.17,rain,0,0,17.6,8.6,310.8,1026.4,76.5,7.3,59,5.1,4,10,2022-12-18T08:32:44,2022-12-18T17:50:01,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,C1784,LEMD,LEVS,08226099999,F7959,08223099999,08215099999"
madrid,2022-12-19,10.9,3.6,7.2,10.9,2.8,6.6,5.7,90.4,0,0,0,,0,0,16.6,8.2,14,1027.4,71,9.2,41.5,3.6,2,10,2022-12-19T08:33:20,2022-12-19T17:50:25,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08213099999,08223099999,08215099999"
madrid,2022-12-20,9.1,5.4,7.6,9.1,5.1,7.3,6.9,95,6.683,100,54.17,rain,0,0,18,9.3,359.3,1023.8,79.2,6.8,16.3,1.3,1,10,2022-12-20T08:33:54,2022-12-20T17:50:51,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-21,13.4,8.6,10.7,13.4,6.8,10.1,9.6,93.2,3.665,100,25,rain,0,0,34.2,23,240.9,1025.1,80.1,10.2,60.5,5.2,4,10,2022-12-21T08:34:26,2022-12-21T17:51:19,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-22,14.2,10,11.7,14.2,10,11.7,10.4,91.8,0.132,100,41.67,rain,0,0,29.5,20,237.8,1027.8,83.7,13.1,60.3,5.4,4,10,2022-12-22T08:34:56,2022-12-22T17:51:50,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-23,11.6,10.3,11.1,11.6,10.3,11.1,9.9,92.7,0.392,100,16.67,rain,0,0,25.9,13.1,206.1,1027,97.3,12.2,30,2.6,1,10,2022-12-23T08:35:24,2022-12-23T17:52:22,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-24,10.6,5.9,9.1,10.6,5.9,8.9,8,93.1,0,0,0,,0,0,79.6,8,173.9,1023.7,82.5,8.9,40.2,3.5,2,10,2022-12-24T08:35:50,2022-12-24T17:52:56,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,C1784,LEMD,LEVS,08226099999,F7959,08223099999,08215099999"
madrid,2022-12-25,15.3,6,9.4,15.3,4.8,9,7.2,87.6,0,0,0,,0,0,83.5,12.6,126.8,1021.3,63.7,7.9,53.7,4.8,3,10,2022-12-25T08:36:13,2022-12-25T17:53:33,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,C1784,LEMD,LEVS,08226099999,LETO,F7959,08223099999,08215099999"
madrid,2022-12-26,16.2,4.6,9.3,16.2,4.6,9.2,6.1,82,0,0,0,,0,0,11.9,6.8,353.6,1027.3,14.6,13.2,103.8,9.2,4,10,2022-12-26T08:36:35,2022-12-26T17:54:11,0.07,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-27,15,4,8.3,15,4,8.3,5.7,85.3,0,0,0,,0,0,11.5,8.2,329.8,1031.4,2.3,12.2,98.9,8.7,4,10,2022-12-27T08:36:55,2022-12-27T17:54:51,0.11,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-28,13.3,2.9,7.7,13.3,2.7,7.2,5.1,85,0,0,0,,0,0,22.3,18,230.6,1027.1,20.6,11.8,98.5,8.6,4,10,2022-12-28T08:37:12,2022-12-28T17:55:33,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-12-29,11.6,7.8,10,11.6,6.1,9.3,7.9,87.2,0,0,0,rain,0,0,51.8,26.8,213.2,1022.8,72.4,9.9,31.8,2.8,2,10,2022-12-29T08:37:28,2022-12-29T17:56:17,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C1784,LEMD,LEVS,LETO,F7959"
madrid,2022-12-30,13.2,8.8,11.3,13.2,8.8,11.3,6.6,72.6,0,0,0,rain,0,0,46.4,36,221.9,1024.3,74,11.8,60.3,5.2,3,10,2022-12-30T08:37:41,2022-12-30T17:57:02,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C1784,LEMD,LEVS,LETO,F7959"
